OPR_DT,VALUE
2/12/23,44.38154
2/12/23,47.82103
2/12/23,52.65206
2/12/23,68.54117
2/12/23,69.02843
2/12/23,68.62553
2/12/23,70.47
2/12/23,70.47
2/12/23,70.76425
2/12/23,52.17282
2/12/23,47.57038
2/12/23,52.17282
2/12/23,51.33907
2/12/23,54.89741
2/12/23,58.80876
2/12/23,60.53459
2/12/23,67.02776
2/12/23,70.08058
2/12/23,71.11017
2/12/23,75.47285
2/12/23,76.42326
2/12/23,58.82876
2/12/23,56.308
2/12/23,54.90908
2/12/23,52.77991
2/12/23,57.64619
2/12/23,58.67295
2/12/23,58.73124
2/12/23,60.09228
2/12/23,61.40369
2/12/23,64.86617
2/12/23,64.88
2/12/23,65.16695
2/12/23,52.71531
2/12/23,52.71531
2/12/23,52.45743
2/12/23,52.52591
2/12/23,54.21115
2/12/23,54.28626
2/12/23,53.1603
2/12/23,53.98991
2/12/23,54.67875
2/12/23,53.8813
2/12/23,52.66305
2/12/23,53.1659
2/12/23,60.43924
2/12/23,60.36835
2/12/23,59.74453
2/12/23,59.75091
2/12/23,60.17261
2/12/23,60.46183
2/12/23,59.75106
2/12/23,59.75106
2/12/23,62.87886
2/12/23,63.19626
2/12/23,63.63757
2/12/23,63.97415
2/12/23,73.14442
2/12/23,70.90774
2/12/23,70.30636
2/12/23,70.66985
2/12/23,70.26486
2/12/23,71.54011
2/12/23,66.44598
2/12/23,67.96841
2/12/23,64.77922
2/12/23,63.12372
2/12/23,62.19791
2/12/23,63.66344
2/12/23,68.69186
2/12/23,66.58679
2/12/23,66.36519
2/12/23,66.7099
2/12/23,68.51139
2/12/23,68.92006
2/12/23,70.09573
2/12/23,68.70575
2/12/23,68.65663
2/12/23,68.6148
2/12/23,66.83277
2/12/23,64.99038
2/12/23,68.0272
2/12/23,68.0272
2/12/23,67.98358
2/12/23,67.88331
2/12/23,66.59638
2/12/23,67.97655
2/12/23,63.72898
2/12/23,59.72024
2/12/23,57.97953
2/12/23,52.74339
2/12/23,52.25143
2/12/23,52.56844
2/12/23,62.46718
2/12/23,59.58316
2/12/23,55.8409
2/12/23,55.52012
2/12/23,52.83368
2/12/23,52.01579
2/12/23,51.80878
2/12/23,50.4793
2/12/23,50.07526
2/12/23,50.8504
2/12/23,50.1
2/12/23,49.63829
2/13/23,48.70784
2/13/23,48.85859
2/13/23,47.26638
2/13/23,47.38777
2/13/23,47.07061
2/13/23,46.83992
2/13/23,47.12793
2/13/23,47.11644
2/13/23,46.68032
2/13/23,46.69463
2/13/23,46.09671
2/13/23,45.78919
2/13/23,43.91337
2/13/23,43.91337
2/13/23,43.91337
2/13/23,43.84974
2/13/23,43.31286
2/13/23,43.32259
2/13/23,43.70472
2/13/23,43.70472
2/13/23,43.70472
2/13/23,44.04807
2/13/23,44.8507
2/13/23,44.24509
2/13/23,43.58011
2/13/23,42.75726
2/13/23,42.75726
2/13/23,43.20436
2/13/23,43.65384
2/13/23,43.65384
2/13/23,43.9487
2/13/23,44.36768
2/13/23,45.26746
2/13/23,46.11153
2/13/23,46.39221
2/13/23,47.06202
2/13/23,48.97099
2/13/23,48.43627
2/13/23,48.73492
2/13/23,48.80448
2/13/23,48.9988
2/13/23,48.50547
2/13/23,48.71737
2/13/23,49.0403
2/13/23,49.37984
2/13/23,50.62134
2/13/23,51.17436
2/13/23,49.8869
2/13/23,48.9125
2/13/23,48.20273
2/13/23,49.1427
2/13/23,49.67736
2/13/23,50.94503
2/13/23,52.82232
2/13/23,54.12073
2/13/23,54.80155
2/13/23,56.85643
2/13/23,57.71772
2/13/23,58.67087
2/13/23,59.12662
2/13/23,51.55195
2/13/23,52.28267
2/13/23,53.5389
2/13/23,55.53952
2/13/23,57.97899
2/13/23,59.59209
2/13/23,63.03359
2/13/23,64.80403
2/13/23,64.82086
2/13/23,66.18782
2/13/23,66.18782
2/13/23,66.19016
2/13/23,58.49203
2/13/23,53.73755
2/13/23,55.23901
2/13/23,63.8631
2/13/23,63.8631
2/13/23,68.83402
2/13/23,69.84322
2/13/23,70.68275
2/13/23,72.29912
2/13/23,72.15848
2/13/23,71.05066
2/13/23,70.34916
2/13/23,85.5325
2/13/23,86.03303
2/13/23,85.36498
2/13/23,87.11275
2/13/23,82.84188
2/13/23,70.66343
2/13/23,66.00534
2/13/23,57.73901
2/13/23,49.21428
2/13/23,45.2042
2/13/23,42.70771
2/13/23,40.69707
2/13/23,47.13748
